
0,"КоАП РФ","12.9.2","Превышение установленной скорости движения транспортного средства на величину более 20, но не более 40 километров в час", 500
1,"КоАП РФ","12.9.3","Превышение установленной скорости движения транспортного средства на величину более 40, но не более 60 километров в час", 1000
2,"КоАП РФ","12.9.4","Превышение установленной скорости движения транспортного средства на величину более 60, но не более 80 километров в час", 2000
3,"КоАП РФ","12.9.5","Превышение установленной скорости движения транспортного средства на величину более 80 километров в час", 5000
4,"КоАП РФ","12.12.2","Невыполнение требования Правил дорожного движения об остановке перед стоп-линией, обозначенной дорожными знаками или разметкой проезжей части дороги, при запрещающем сигнале светофора или запрещающем жесте регулировщика", 800
5,"КоАП РФ","12.12.1","Проезд на запрещающий сигнал светофора или на запрещающий жест регулировщика, за исключением случаев, предусмотренных частью 1 статьи 12.10 настоящего Кодекса и частью 2 настоящей статьи", 1000
6,"КоАП РФ","12.13.1","Выезд на перекресток или пересечение проезжей части дороги в случае образовавшегося затора, который вынудил водителя остановиться, создав препятствие для движения транспортных средств в поперечном направлении", 1000
7,"КоАП РФ","12.15.1","Нарушение правил расположения транспортного средства на проезжей части дороги, встречного разъезда, а равно движение по обочинам или пересечение организованной транспортной или пешей колонны либо занятие места в ней", 1500
8,"КоАП РФ","12.15.5","Выезд в нарушение Правил дорожного движения на полосу, предназначенную для встречного движения, либо на трамвайные пути встречного направления, за исключением случаев, предусмотренных частью 3 настоящей статьи", 5000
9,"КоАП РФ","12.16.1","Несоблюдение требований, предписанных дорожными знаками или разметкой проезжей части дороги, за исключением случаев, предусмотренных частями 2 - 7 настоящей статьи и другими статьями настоящей главы", 500
10,"КоАП РФ","12.17.1.1","Движение транспортных средств по полосе для маршрутных транспортных средств или остановка на указанной полосе в нарушение Правил дорожного движения, за исключением случаев, предусмотренных частями 3 - 5 статьи 12.15 настоящего Кодекса, и случая, предусмотренного частью 1.2 настоящей статьи", 1500
11,"КоАП РФ","12.18","Непредоставление преимущества в движении пешеходам или иным участникам дорожного движения", 2500
