
0,"Ленинградский просп., напротив д.68, в центр (выезд из Волоколамского тоннеля), г. Москва",55.802921,37.522291,2005-04-08 09:23,ЦОДД,Стрелка-СТ
1,"ул.Косыгина, вл.29, от Мичуринского пр-та, г. Москва",55.710471,37.539083,2009-05-17 10:59,ЦОДД,Кордон
2,"Северо-Восточная хорда, д. 8, с.1 по Окружному проезду, к ш. Энтузиастов, г. Москва",55.794606,37.746737,2015-12-28 15:37,ЦОДД,Автодория
3,"Варшавское ш., д.85, к.1, в центр, г. Москва",55.655629,37.619675,2007-11-03 19:09,ЦОДД,Кордон
4,"ул.Косыгина, д.32, МГТ № 194, к Мосфильмовской улице, г. Москва",55.720548,37.535458,2001-08-29 20:39,ЦОДД,Автодория
5,"ул.Красная Пресня, напротив д. 31, в центр, г. Москва",55.762952,37.562591,2021-05-13 13:07,ГИБДД,Стрелка-СТ
6,"Бережковская наб., д.12, из центра, г. Москва",55.738005,37.565362,2015-11-07 15:35,ЦОДД,Стрелка-СТ NEW
7,"Бережковская наб., напротив д. 22, МГО № 25, в центр, г. Москва",55.730992,37.552203,2020-10-23 04:04,ЦОДД,Стрелка Плюс
8,"ул.Садовая-Спасская, д.19, к.1, внешняя сторона, г. Москва",55.76947,37.647357,2001-09-26 17:30,ЦОДД,Стрелка-СТ
9,"Северо-Западный (Серебряноборский) тоннель, д.17, с.4 по ул. Крылатской, в центр, г. Москва",55.772267,37.419254,2019-02-13 00:15,ЦОДД,Автодория
10,"Маршала Жукова просп., напротив д. 23 по ул. Маршала Прошлякова, в центр, г. Москва",55.788045,37.381095,2008-01-25 08:58,ЦОДД,Стрелка-СТ
11,"ул.Масловка Нижн., д.9, г. Москва",55.791432,37.576649,2018-08-25 17:17,ЦОДД,Кордон
12,"МКАД, 66км 970м, Г-опора, внутренняя сторона, г. Москва",55.827755,37.394387,2017-07-26 07:27,ЦОДД,Стрелка-СТ NEW
13,"МКАД, 84км 770м, внешняя сторона, Г-опора, г. Москва",55.908424,37.594383,2012-06-16 18:51,ЦОДД,Стрелка-СТ NEW
14,"МКАД, 60км 700м, Г-опора, внутренняя сторона, г. Москва",55.773453,37.369797,2016-05-02 07:45,ЦОДД,Стрелка-СТ
15,"МКАД, 103 км 375 м, П-опора, внутренняя сторона, г. Москва",55.821695,37.836933,2014-11-09 16:11,ЦОДД,Стрелка-СТ
16,"МКАД, 33 км 630 м, П-опора, внешняя сторона, г. Москва",55.578142,37.584605,2007-01-08 22:23,Частный владелец,Стрелка Плюс
17,"Каширское ш., вл.106А, г. Москва",55.611331,37.71695,2004-10-22 22:31,ГИБДД,Стрелка Плюс
18,"Буденного просп., д.51, к.6, г. Москва",55.759025,37.738748,2017-09-26 07:01,ЦОДД,Кордон
19,"Волоколамское ш., д. 4, к. 1 по 1-му Красногорскому проезду, из центра, г. Москва",55.810997,37.485558,2007-02-26 22:34,ЦОДД,Стрелка Плюс
20,"ул.Академическая Б., Алабяно-Балтийский тоннель, д.25/2 по ул.Космонавта Волкова, г. Москва",55.819774,37.524523,2020-09-08 18:26,ЦОДД,Кордон
21,"МКАД, 69 км 750 м, Г-опора, внешняя сторона, г. Москва",55.852518,37.393928,2014-01-29 23:58,ЦОДД,Стрелка-СТ
22,"МКАД, 73 км, Г-опора, внешняя сторона, г. Москва",55.87512,37.423277,2017-01-13 14:58,ЦОДД,Автодория
23,"МКАД, 58км 950м, внутренняя сторона, П-опора, г. Москва",55.757784,37.369333,2014-10-17 11:39,МВД,Стрелка-СТ NEW
24,"Северо-Восточная хорда, вл.2, стр. 1 по аллее Пролетарского Входа, к Щелковскому ш., г. Москва",55.76761,37.74746,2013-03-10 00:38,ЦОДД,Автоураган
25,"МКАД, 69км 300м, внешняя сторона, МГО № 9, г. Москва",55.84846,37.391842,2003-08-22 03:39,ЦОДД,Кордон
26,"МКАД, 12 км 100 м, П-опора, внешняя сторона, г. Москва",55.671075,37.836801,2004-05-14 21:26,ГИБДД,Стрелка-СТ NEW
27,"МКАД, 1 км 865 м, П-опора, внешняя сторона, г. Москва",55.762145,37.843086,2018-06-03 13:37,ЦОДД,Автоураган
28,"МКАД, 76 км 420 м, П-опора, внутренняя сторона, г. Москва",55.884383,37.47217,2017-05-11 06:28,ГИБДД,Стрелка-СТ
